iter	Passed	Remaining
0	207	207466
1	251	125719
2	313	104164
3	344	85803
4	369	73488
5	391	64789
6	416	59075
7	443	54998
8	468	51594
9	497	49213
10	528	47535
11	556	45814
12	586	44522
13	619	43650
14	653	42921
15	688	42319
16	723	41843
17	771	42088
18	790	40838
19	817	40058
20	846	39452
21	872	38788
22	897	38130
23	923	37540
24	953	37192
25	986	36941
26	1015	36597
27	1042	36180
28	1069	35795
29	1099	35546
30	1135	35500
31	1171	35449
32	1192	34936
33	1226	34844
34	1259	34739
35	1290	34555
36	1335	34764
37	1367	34615
38	1397	34434
39	1426	34238
40	1452	33973
41	1477	33701
42	1502	33444
43	1527	33180
44	1555	33007
45	1584	32858
46	1618	32819
47	1655	32830
48	1699	32986
49	1728	32847
50	1768	32912
51	1806	32939
52	1841	32906
53	1872	32795
54	1901	32663
55	1929	32518
56	1953	32314
57	1975	32089
58	1999	31885
59	2021	31666
60	2044	31475
61	2069	31310
62	2093	31134
63	2119	31000
64	2145	30858
65	2171	30734
66	2209	30772
67	2257	30947
68	2287	30860
69	2316	30782
70	2342	30654
71	2367	30520
72	2394	30408
73	2417	30252
74	2440	30102
75	2462	29942
76	2488	29827
77	2510	29679
78	2550	29729
79	2577	29638
80	2602	29527
81	2627	29418
82	2651	29296
83	2673	29155
84	2696	29031
85	2720	28910
86	2743	28793
87	2767	28677
88	2788	28545
89	2810	28419
90	2834	28309
91	2853	28165
92	2882	28107
93	2907	28021
94	2936	27974
95	2964	27919
96	2990	27841
97	3019	27789
98	3045	27719
99	3070	27638
100	3099	27591
101	3131	27565
102	3159	27514
103	3188	27469
104	3217	27425
105	3245	27374
106	3271	27303
107	3299	27254
108	3330	27223
109	3366	27240
110	3440	27554
111	3473	27538
112	3507	27533
113	3531	27445
114	3554	27351
115	3576	27254
116	3597	27154
117	3622	27076
118	3646	26995
119	3672	26931
120	3698	26865
121	3724	26801
122	3752	26755
123	3776	26681
124	3802	26620
125	3828	26553
126	3853	26490
127	3879	26428
128	3903	26358
129	3927	26281
130	3953	26224
131	3982	26187
132	4016	26180
133	4044	26141
134	4079	26138
135	4120	26179
136	4162	26222
137	4203	26254
138	4233	26226
139	4266	26210
140	4299	26191
141	4330	26163
142	4363	26148
143	4396	26135
144	4420	26065
145	4454	26055
146	4508	26162
147	4545	26164
148	4575	26132
149	4603	26085
150	4633	26050
151	4664	26023
152	4694	25987
153	4726	25965
154	4758	25940
155	4791	25925
156	4824	25903
157	4860	25904
158	4899	25917
159	4942	25946
160	4990	26007
161	5025	25997
162	5050	25931
163	5080	25899
164	5109	25857
165	5127	25760
166	5151	25696
167	5174	25626
168	5199	25566
169	5225	25511
170	5253	25469
171	5280	25421
172	5310	25387
173	5345	25373
174	5388	25400
175	5422	25387
176	5458	25379
177	5497	25388
178	5530	25365
179	5557	25319
180	5585	25271
181	5611	25221
182	5638	25170
183	5662	25112
184	5687	25053
185	5711	24994
186	5735	24937
187	5761	24884
188	5791	24852
189	5823	24828
190	5863	24837
191	5902	24840
192	5943	24851
193	5987	24876
194	6034	24909
195	6077	24928
196	6125	24969
197	6169	24988
198	6212	25005
199	6254	25016
200	6297	25034
201	6340	25046
202	6384	25066
203	6430	25092
204	6472	25102
205	6516	25118
206	6557	25121
207	6598	25125
208	6638	25124
209	6678	25124
210	6722	25137
211	6749	25086
212	6779	25050
213	6812	25020
214	6845	24992
215	6896	25031
216	6930	25006
217	6960	24970
218	6990	24927
219	7022	24898
220	7052	24858
221	7083	24822
222	7114	24790
223	7171	24845
224	7209	24832
225	7245	24813
226	7277	24782
227	7310	24754
228	7344	24727
229	7376	24694
230	7399	24631
231	7422	24572
232	7449	24522
233	7473	24462
234	7497	24405
235	7522	24353
236	7553	24318
237	7584	24282
238	7611	24235
239	7638	24189
240	7668	24150
241	7698	24114
242	7731	24085
243	7758	24037
244	7785	23990
245	7812	23946
246	7837	23893
247	7863	23844
248	7887	23789
249	7912	23736
250	7935	23681
251	7960	23628
252	7978	23558
253	8002	23504
254	8027	23452
255	8059	23423
256	8093	23398
257	8127	23374
258	8161	23350
259	8196	23329
260	8217	23265
261	8246	23227
262	8275	23191
263	8304	23152
264	8331	23109
265	8357	23062
266	8381	23010
267	8407	22963
268	8431	22912
269	8457	22865
270	8482	22819
271	8511	22779
272	8536	22733
273	8576	22723
274	8620	22725
275	8661	22720
276	8702	22713
277	8748	22720
278	8790	22715
279	8837	22725
280	8878	22718
281	8923	22721
282	8965	22713
283	9005	22703
284	9055	22718
285	9105	22732
286	9154	22742
287	9200	22745
288	9247	22750
289	9293	22752
290	9328	22729
291	9376	22734
292	9426	22745
293	9473	22749
294	9552	22827
295	9593	22817
296	9628	22791
297	9654	22743
298	9678	22690
299	9704	22643
300	9733	22603
301	9760	22558
302	9785	22509
303	9812	22466
304	9837	22416
305	9866	22377
306	9891	22327
307	9919	22287
308	9945	22239
309	9971	22194
310	9995	22144
311	10024	22104
312	10054	22067
313	10095	22056
314	10138	22048
315	10186	22049
316	10232	22047
317	10284	22056
318	10339	22072
319	10371	22040
320	10399	21998
321	10428	21958
322	10455	21914
323	10482	21871
324	10510	21829
325	10534	21780
326	10560	21735
327	10585	21687
328	10603	21626
329	10628	21579
330	10653	21532
331	10679	21487
332	10706	21444
333	10730	21397
334	10754	21348
335	10779	21301
336	10803	21254
337	10829	21209
338	10860	21176
339	10894	21147
340	10941	21144
341	10977	21119
342	11010	21089
343	11040	21053
344	11070	21018
345	11103	20987
346	11135	20954
347	11163	20915
348	11194	20880
